Date,Open,High,Low,Close*,Adj Close**,Volume
"Jan 18, 2022",84.32,86.63,83.5,85.43,85.43,163643
"Jan 14, 2022",81.73,84.45,81.58,83.82,83.82,364442
"Jan 13, 2022",82.82,82.94,81.39,82.12,82.12,364769
"Jan 12, 2022",81.38,83.1,81.17,82.64,82.64,420619
"Jan 11, 2022",78.42,81.59,78.36,81.22,81.22,481815
"Jan 10, 2022",78.88,79.45,77.83,78.23,78.23,389956
"Jan 07, 2022",79.62,80.47,78.52,78.9,78.9,414434
"Jan 06, 2022",77.24,80.24,76.73,79.46,79.46,476665
"Jan 05, 2022",77.18,78.58,76.51,77.85,77.85,397898
"Jan 04, 2022",76.02,77.64,75.7,76.99,76.99,372848
"Jan 03, 2022",75.69,76.46,74.27,76.08,76.08,317628
"Dec 31, 2021",76.66,77.08,74.95,75.21,75.21,237118
"Dec 30, 2021",76.58,77.44,75.78,76.99,76.99,231163
"Dec 29, 2021",76.04,77.37,75.36,76.56,76.56,283557
"Dec 28, 2021",75.97,76.92,75.53,75.98,75.98,249728
"Dec 27, 2021",73.38,76.09,72.57,75.57,75.57,268490
"Dec 23, 2021",73.03,73.95,72.27,73.79,73.79,270223
"Dec 22, 2021",71.27,73.16,70.8,72.76,72.76,306709
"Dec 21, 2021",69.21,71.55,68.56,71.12,71.12,358779
"Dec 20, 2021",70.07,70.07,66.04,68.23,68.23,492217
"Dec 17, 2021",71.92,72.26,69.89,70.86,70.86,78125
"Dec 16, 2021",71.48,72.99,71.03,72.38,72.38,142541
"Dec 15, 2021",70.35,71.66,69.39,70.87,70.87,294337
"Dec 14, 2021",71.12,72.03,69.51,70.73,70.73,359454
"Dec 13, 2021",72.04,73,70.71,71.29,71.29,406604
"Dec 10, 2021",70.68,72.33,70.32,71.67,71.67,397883
"Dec 09, 2021",72.52,73.34,70.39,70.94,70.94,393205
"Dec 08, 2021",71.86,73,70.91,72.36,72.36,464846
"Dec 07, 2021",69.72,73.03,69.52,72.05,72.05,496528
"Dec 06, 2021",67.02,70.15,66.72,69.49,69.49,401060
"Dec 03, 2021",67.5,69.22,65.6,66.26,66.26,449974
"Dec 02, 2021",65.63,67.49,62.43,66.5,66.5,668293
"Dec 01, 2021",67.01,69.49,64.84,65.57,65.57,602447
"Nov 30, 2021",70.04,71.22,64.43,66.18,66.18,722475
"Nov 29, 2021",69.23,72.93,68.86,69.95,69.95,675090
"Nov 26, 2021",78.34,78.65,67.4,68.15,68.15,844630
"Nov 25, 2021",78.34,78.65,77.76,78.03,78.03,328848
"Nov 24, 2021",78.48,79.23,77.98,78.39,78.39,328848
"Nov 23, 2021",76.46,78.86,75.3,78.5,78.5,506987
"Nov 22, 2021",75.75,77.16,74.76,76.75,76.75,465768
"Nov 19, 2021",78.76,79.92,75.37,76.1,76.1,623448
"Nov 18, 2021",78.34,79.36,77.08,79.01,79.01,83984
"Nov 17, 2021",80.54,80.69,77.69,78.36,78.36,174471
"Nov 16, 2021",80.93,81.81,80.03,80.76,80.76,325668
"Nov 15, 2021",80.66,81.2,79.3,80.88,80.88,343484
"Nov 12, 2021",81.21,81.62,79.78,80.79,80.79,390304
"Nov 11, 2021",81.41,82.33,80.2,81.59,81.59,475436
"Nov 10, 2021",84.53,84.97,80.81,81.34,81.34,555215
"Nov 09, 2021",82.16,84.63,81.78,84.15,84.15,504832
"Nov 08, 2021",81.13,82.67,81.05,81.93,81.93,393953
"Nov 05, 2021",79.37,81.8,78.96,81.27,81.27,531054
"Nov 04, 2021",80.18,83.42,78.25,78.81,78.81,701119
"Nov 03, 2021",83.07,83.08,79.69,80.86,80.86,546577
"Nov 02, 2021",83.87,84.41,82.92,83.91,83.91,429608
"Nov 01, 2021",83.36,84.88,82.74,84.05,84.05,412309
"Oct 29, 2021",83.09,83.74,81.41,83.57,83.57,507309
"Oct 28, 2021",82.25,83.21,80.58,82.81,82.81,491585
"Oct 27, 2021",84.39,84.51,82.01,82.66,82.66,529952
"Oct 26, 2021",83.72,84.88,82.97,84.65,84.65,467716
"Oct 25, 2021",83.98,85.41,83.39,83.76,83.76,568725
"Oct 22, 2021",82.61,84.22,81.76,83.76,83.76,465355
"Oct 21, 2021",83.58,83.96,80.79,82.5,82.5,567503
"Oct 20, 2021",83.34,84.25,81.3,83.87,83.87,530693
"Oct 19, 2021",82.37,83.74,81.8,82.96,82.96,82607
"Oct 18, 2021",82.6,83.87,81.84,82.44,82.44,134098
"Oct 15, 2021",81.48,82.66,81.39,82.28,82.28,277953
"Oct 14, 2021",80.59,81.68,80.38,81.31,81.31,399813
"Oct 13, 2021",80.58,81.04,79.42,80.44,80.44,487220
"Oct 12, 2021",80.5,81.62,79.47,80.64,80.64,598181
"Oct 11, 2021",79.59,82.18,79.55,80.52,80.52,653756
"Oct 08, 2021",78.86,80.11,78.63,79.35,79.35,662010
"Oct 07, 2021",77,78.89,74.96,78.3,78.3,545008
"Oct 06, 2021",79.04,79.78,76.83,77.43,77.43,459055
"Oct 05, 2021",77.58,79.48,77.47,78.93,78.93,449617
"Oct 04, 2021",75.9,78.38,75.32,77.62,77.62,458006
"Oct 01, 2021",75.12,75.99,74.23,75.88,75.88,388996
"Sep 30, 2021",74.78,76.07,73.14,75.03,75.03,583189
"Sep 29, 2021",74.38,75.79,73.74,74.83,74.83,424193
